Stadium,College,Conference,Capacity
Huskie Stadium,Northern Illinois,MAC,"24,000"
Peden Stadium,Ohio,MAC,"24,000"
Doyt Perry Stadium,Bowling Green,MAC,"23,724"
FIU Stadium,Florida International,CUSA,"23,500"
Georgia State Stadium,Georgia State,Sun Belt,"23,000"
Scheumann Stadium,Ball State,MAC,"22,500"
LT Smith Stadium,Western Kentucky,CUSA,"22,113"
Foreman Field,Old Dominion,CUSA,"20,118"
McGuirk Stadium,UMass,Independent,"17,000"
Kibbie Dome,Idaho,Sun Belt,"16,000"
Jerry Richardson Stadium,UNC Charlotte,CUSA,"15,314"
Brooks Stadium,Coastal Carolina,Sun Belt,"15,000"
